****************************************************************************************************************************************************
**                                                                                                                                                **
** CMG TimeSeries Property Names                                                                                                                  **
** Replace the string '$C' by actual component name                                                                                               **
**                                                                                                                                                **
** File Generated: 08/23/2018 06:01:52 PM                                                                                                         **
**                                                                                                                                                **
****************************************************************************************************************************************************

NAME                                                            DESCRIPTION
sales fraction for gas recycling                                sales fraction for gas recycling
sales fraction for gas recycling - rg                           sales fraction for gas recycling - reporting groups
sales max rate for gas recycling                                sales max rate for gas recycling
sales max rate for gas recycling - rg                           sales max rate for gas recycling - reporting groups
Salt Fraction                                                   Salt Fraction
SAMINFO                                                         Turn on/off printing for SAM model
Sand Cut SC                                                     Sand Cut at Surface Conditions
Sand Rate                                                       Rate of Sand Volume Production
SANDD Restart Flag                                              SANDD Restart Flag
Save History Well Index                                         Save History Well Index
Scale Damage Factor                                             Well-Index Multiplier due to Scale Deposition
Scale Deposited / Perf-Length                                   Amount of Scale Deposited per Perforation Length
Scouring                                                        Fraction of Scoured Wormholes
Seawater Flow Cum RC LEASE                                      Seawater cumulative RC flow per leaseline
Seawater Flow Cum RC LEASE I-CON                                Seawater cumulative RC flow per leaseline i-con
Seawater Flow Cum RC LEASE J-CON                                Seawater cumulative RC flow per leaseline j-con
Seawater Flow Cum RC LEASE K-CON                                Seawater cumulative RC flow per leaseline k-con
Seawater Flow Cum SC LEASE                                      Seawater cumulative flow per leaseline
Seawater Flow Cum SC LEASE I-CON                                Seawater cumulative flow per leaseline i-con
Seawater Flow Cum SC LEASE J-CON                                Seawater cumulative flow per leaseline j-con
Seawater Flow Cum SC LEASE K-CON                                Seawater cumulative flow per leaseline k-con
Seawater Flow Rate RC LEASE                                     Seawater RC flow rate per leaseline
Seawater Flow Rate RC LEASE I-CON                               Seawater RC flow rate per leaseline i-con
Seawater Flow Rate RC LEASE J-CON                               Seawater RC flow rate per leaseline j-con
Seawater Flow Rate RC LEASE K-CON                               Seawater RC flow rate per leaseline k-con
Seawater Flow Rate SC LEASE                                     Seawater flow rate per leaseline
Seawater Flow Rate SC LEASE I-CON                               Seawater flow rate per leaseline i-con
Seawater Flow Rate SC LEASE J-CON                               Seawater flow rate per leaseline j-con
Seawater Flow Rate SC LEASE K-CON                               Seawater flow rate per leaseline k-con
Seawater Inje Cum SCTR                                          Seawater injection cumulative per sector
Seawater Inje Rate SCTR                                         Water injection rate per sector
Seawater phase well index RC                                    Seawater phase well index - reservoir conditions
Seawater phase well index SC                                    Seawater phase well index - surface conditions
Seawater Prod Cum SCTR                                          Seawater production cumulative per sector
Seawater Prod Rate SCTR                                         Seawater production rate per sector
Seawater Rate RC                                                Seawater volume rate - reservoir conditions
Seawater Rate RC - Instantaneous On-time                        Seawater volume rate - reservoir conditions during well on-time
Seawater Rate SC                                                Seawater volume rate - surface conditions
Seawater Rate SC - Instantaneous On-time                        Seawater volume rate - surface conditions during well on-time
Seawater Recovery Fac SCTR                                      Seawater recovery factor per sector
seawater vol frac injected per well                             seawater volume fraction injected per well
Seawater Volume RC SCTR                                         Seawater volume reservoir conditions per sector
Seawater Volume SC SCTR                                         Seawater volume surface conditions per sector
Sector Cum Aquf Water Influx SCTR                               Cum Aquf Water Influx per sector
Sector Cumulative SC Injection - Components                     IMEX Sector Cumulative SC Injection of each Component
Sector Cumulative SC Production - Components                    IMEX Sector Cumulative SC Production of each Component
Sector Cumulative SC Production - Phase Split                   Sector Cumulative SC Producction for Phase Split
Sector geometry array                                           Sector geometry array
Sector geometry length                                          Length of sector geometry array
Sector number for which pressure is maintained                  Sector number for which pressure is maintained
Separator gas mole frac                                         Separator gas mole fraction
Separator gas mole frac$C                                       Separator gas mole fraction$C
Separator INL mole frac                                         Separator intermediate liquid mole fraction
Separator INL mole frac$C                                       Separator intermediate liquid mole fraction$C
Separator oil mole frac                                         Separator gas mole fraction
Separator oil mole frac$C                                       Separator gas mole fraction$C
Shear Thick Parameter Gas Phase                                 Shear Thick Parameter Gas Phase
Shear Thick Parameter Gas Phase$C                               Shear Thick Parameter Gas Phase$C
Shear Thick Parameter Oil Phase                                 Shear Thick Parameter Oil Phase
Shear Thick Parameter Oil Phase$C                               Shear Thick Parameter Oil Phase$C
Shear Thick Parameter Water Phase                               Shear Thick Parameter Water Phase
Shear Thick Parameter Water Phase$C                             Shear Thick Parameter Water Phase$C
Shear Thin Parameter Gas Phase                                  Shear Thin Parameter Gas Phase
Shear Thin Parameter Gas Phase$C                                Shear Thin Parameter Gas Phase$C
Shear Thin Parameter Oil Phase                                  Shear Thin Parameter Oil Phase
Shear Thin Parameter Oil Phase$C                                Shear Thin Parameter Oil Phase$C
Shear Thin Parameter Water Phase                                Shear Thin Parameter Water Phase
Shear Thin Parameter Water Phase$C                              Shear Thin Parameter Water Phase$C
shutin condition                                                shutin condition
Shutting and reopening a list of wells                          Shutting and reopening a list of wells
Skin-tuner WI multiplier                                        Skin-tuner WI multiplier
Slip in dis. wellbore                                           Slip in discretized wellbore blocks
Slip in flex. wellbore                                          Slip in flexible wellbore blocks
Sol. Gas Mol. Cum. Prod                                         Solution Gas Molar Cumulative Production
Sol. Gas Mol. Cum. Prod$C                                       Solution Gas Component Molar Cumulative Production$C
Sol. Gas Mol. Prod Rate                                         Solution Gas Molar Production Rate
Sol. Gas Mol. Prod Rate$C                                       Solution Gas Component Molar Production Rate$C
Sol. Gas Vol. Cum. Prod.                                        Solution Gas Volumetric Cumulative Production
Sol. Gas Vol. Prod. Rate                                        Solution Gas Volumetric Production Rate
Solid blockage flag in flex wellbore                            Solid blockage flag in flex wellbore
Solid Volume Change SCTR                                        Solid volume change per sector
Solid Volume SCTR                                               Solid volume per sector
Solution Gas Cum Prod SCTR                                      Solution Gas Cumulative Production per sector
Solution Gas Moles IPF                                          Solution Gas Moles in Place Fluids per sector
Solution Gas Moles IPF$C                                        Solution Gas Component Moles in Place Fluid per sector$C
Solution Gas Prod Rate SCTR                                     Solution Gas Production Rate per sector
Solution Gas Volume IPF                                         Solution Gas Volume in Place Fluids per sector
Solution GOR in PVT table                                       Solution GOR in PVT table
Solvent Ave Sat SCTR                                            Average solvent saturation per sector
Solvent Flow Cum RC LEASE                                       Solvent cumulative RC flow per leaseline
Solvent Flow Cum RC LEASE I-CON                                 Solvent cumulative RC flow per leaseline i-con
Solvent Flow Cum RC LEASE J-CON                                 Solvent cumulative RC flow per leaseline j-con
Solvent Flow Cum RC LEASE K-CON                                 Solvent cumulative RC flow per leaseline k-con
Solvent Flow Cum SC LEASE                                       Solvent cumulative flow per leaseline
Solvent Flow Cum SC LEASE I-CON                                 Solvent cumulative flow per leaseline i-con
Solvent Flow Cum SC LEASE J-CON                                 Solvent cumulative flow per leaseline j-con
Solvent Flow Cum SC LEASE K-CON                                 Solvent cumulative flow per leaseline k-con
Solvent Flow Rate RC LEASE                                      Solvent RC flow rate per leaseline
Solvent Flow Rate RC LEASE I-CON                                Solvent RC flow rate per leaseline i-con
Solvent Flow Rate RC LEASE J-CON                                Solvent RC flow rate per leaseline j-con
Solvent Flow Rate RC LEASE K-CON                                Solvent RC flow rate per leaseline k-con
Solvent Flow Rate SC LEASE                                      Solvent flow rate per leaseline
Solvent Flow Rate SC LEASE I-CON                                Solvent flow rate per leaseline i-con
Solvent Flow Rate SC LEASE J-CON                                Solvent flow rate per leaseline j-con
Solvent Flow Rate SC LEASE K-CON                                Solvent flow rate per leaseline k-con
Solvent Inje Cum SCTR                                           Solvent injection cumulative per sector
Solvent Inje Rate SCTR                                          Solvent injection rate per sector
Solvent Injection Manifold Pressure                             Solvent Injection Manifold Pressure
Solvent Injection Surface Pressure                              Solvent Injection Surface Pressure
Solvent Prod Cum SCTR                                           Solvent production cumulative per sector
Solvent Prod Rate SCTR                                          Solvent production rate per sector
Solvent Rate RC                                                 Solvent phase volume rate - reservoir conditions
Solvent Rate SC                                                 Solvent phase volume rate - surface conditions
Solvent Rate SC - Instantaneous On-time                         Solvent phase rate - surface conditions during well on-time
Solvent Rate$C SC                                               Solvent phase component volume rate$C - surface conditions
Solvent Recovery Fac SCTR                                       Solvent recovery factor per sector
Solvent sat in well block                                       Solvent saturation in well block
Solvent time-span-cumulatiion SC per well array                 Well Solvent accumulation within a network timestep - surface conditions 
Solvent Volume RC SCTR                                          Solvent volume reservoir conditions per sector
Solvent Volume SC SCTR                                          Solvent volume surface conditions per sector
Solvent well index RC                                           Solvent phase well index - reservoir conditions
Solvent well index SC                                           Solvent phase well index - surface conditions
Solver degree                                                   Solver solution degree
Solver Iterations Cum                                           Solver iterations from time zero
Solver Max. Iterations                                          Maximum number of solver iterations
Solver number orth                                              Number of solver orthogonalizations before reset
Solver order                                                    Solver equation ordering
Solver pivoting                                                 Solver pivoting during block normalization
Solver precision                                                Solver convergence criteria
Solvr Iters per Newtn Cyc                                       Solver Iterations per Newton Cycle
sor group trigger cum - value above max threshold               sor group trigger cum - value above max threshold
sor group trigger cum - value below min threshold               sor group trigger cum - value below min threshold
sor group trigger rate - value above max threshold              sor group trigger rate - value above max threshold
sor group trigger rate - value below min threshold              sor group trigger rate - value below min threshold
sor reporting group trigger cum - value above max threshold     sor reporting group trigger cum - value above max threshold
sor reporting group trigger cum - value below min threshold     sor reporting group trigger cum - value below min threshold
sor reporting group trigger rate - value above max threshold    sor reporting group trigger rate - value above max threshold
sor reporting group trigger rate - value below min threshold    sor reporting group trigger rate - value below min threshold
Special Histories                                               Special Histories
SR2 layer-name record type                                      layer name record syntax in IRF
ss for each well                                                ss for each well
Status (0 = open, 1 = closed, 2 = auto)                         Status (0 = open, 1 = closed, 2 = auto)
Steam Chamber Volume SCTR                                       Steam chamber volume per sector
Steam Oil Ratio Cum SCTR                                        Cum-based steam-oil ratio per sector
Steam Oil Ratio Inst SCTR                                       Rate-based steam-oil ratio per sector
Steam Quality                                                   Injection Steam Quality
Steam Trap Layer                                                Steam Trap Layer
steam trap location for each well                               steam trap location for each well
steam trap type for each well                                   steam trap type for each well
STEAM1 calculation mode                                         STEAM1 calculation mode
STEAMTRAP2 calculation mode                                     STEAMTRAP2 calculation mode
STF Injection Manifold Pressure                                 STF Injection Manifold Pressure
STF Injection Surface Pressure                                  STF Injection Surface Pressure
Surface cumulative tracer per well                              Surface tracer quantity accumulation per well
Surface cumulative volumes per well.                            Surface cumulative volumes per well.
Surface rate for layer ily, phase j                             Surface rate for layer ily, phase j
Surface tension - wellbore                                      Gas-Liquid surface tension in wellbore 
Sw in w-o rel perm table                                        Water saturation in w-o rel perm table.
table values of gor for producers                               table values of gor for producers
Tangential Modulus Coefficients                                 Tangential Modulus Coefficients
target rate or reinjection ratio                                target rate or reinjection ratio
TBHFCP                                                          Group Cycling Control - Cum. BHF Prod.
TEMLAY                                                          LAYER TEMPERATURE
Temperature at surface                                          Temperature at surface
Temperature Diff.                                               Temperature Difference
Temperature in well block                                       Temperature in well block
TEMW0                                                           Initial BHT - SAM, TABLE
TGASCP                                                          Group Cycling Control - Cum. Gas Prod.
TGASCR                                                          Group Cycling Control - Cum. Res. Gas Injected
TGASCS                                                          Group Cycling Control - Cum. STG Injected
Threshold Pressure for Init Regions                             Threshold Pressure for Init Regions
Time at which priority is re-calculated                         Time at which priority is re-calculated
Time interval between well priority calculations                Time interval between well priority calculations
Time step duration                                              Time step duration
Timestep at which PHCSCT is recorded                            Timestep at which PHCSCT is recorded 
Timestep Cuts Cum                                               Timestep cuts from time zero
Timestep Size                                                   Timestep Size
Timesteps Cum                                                   Timesteps from time zero
TINJBH                                                          Bottom-hole temperature - SAM
TINJW                                                           Injection temperature - Co-injection
TINLCP                                                          Group Cycling Control - Cum. Int. Liquid Prod.
Tip Gradient                                                    Gradient at Wormhole Tip
TLIQCP                                                          Group Cycling Control - Cum. Oil Prod.
TOILCP                                                          Group Cycling Control - Cum. Oil Prod.
TOILCS                                                          Group Cycling Control - Cum. OIL Injected
Tot Gas Volume SC SCTR                                          Total gas volume surface conditions per sector
total #of entries in each BHP table                             total #of entries in each BHP table
Total AN-RES per FW                                             Total AN-RES per FW
Total Aquifer Heat Influx                                       Total Net Heat Influx to Aquifer
Total Aquifer Heat Influx Rate                                  Total Rate of Heat Influx to Aquifer
Total Aquifer Water Influx                                      Total Net Water Influx to Aquifer
Total Aquifer Water Influx Rate                                 Total Rate of Water Influx to Aquifer
Total connections                                               Total number of connections
Total injection per FW                                          Total injection per FW
Total material-in-place                                         IMEX Saved total material-in-place
Total number of aquifer                                         Total number of aquifer
Total number of entries in each FCDTABLE                        Total number of entries in each FCDTABLE
Total Number of entries of all variables in all FCDTABLE tables Total Number of entries of all variables in all FCDTABLE tables
Total number of entries of each variable in each FCDTABLE       Total number of entries of each variable in each FCDTABLE
Total number of listed wells                                    Total number of listed wells
Total number of sector records for pmaint                       Total number of sector records for pmaint
Total number of WELLISTs                                        Total number of WELLISTs
Total production per FW                                         Total production per FW
TOTALH                                                          Group Cycling Control - Total Heat Injection
TOTHET                                                          Total heat injected for current CS cycle
TOTHTF                                                          Group Cycling Control - Cum. Heat STF Injected
TOTHTG                                                          Group Cycling Control - Cum. Heat Gas Injected
TOTHTO                                                          Group Cycling Control - Cum. Heat Oil Injected
TOTHTW                                                          Group Cycling Control - Cum. Heat Water Injected
TOTLIQ                                                          Total liquid produced for current CS cycle
TOTWTR                                                          Total steam injected for current CS cycle
Trans Gradient                                                  Gradient at Wormhole Transition
TRANSIENT                                                       Transient discretized wellbore well list
Transient flag                                                  Transient flag
Transmissibility multipliers                                    Transmissibility multipliers
TrigAct Characters                                              Trigger Action character quantities
TrigAct Integers                                                Trigger Action integer quantities
TrigAct Logicals                                                Trigger Action logical quantities
TrigAct Reals                                                   Trigger Action real quantities
TrigActVar Characters                                           Trigger Action Variables character quantities
TrigActVar Integers                                             Trigger Action Variables integer quantities
TrigActVar Logicals                                             Trigger Action Variables logical quantities
TrigActVar Reals                                                Trigger Action Variables real quantities
TSAND Restart Flag                                              TSAND Restart Flag
TSOLCR                                                          Group Cycling Control - Cum. Res. Solvent Injected
TSOLCS                                                          Group Cycling Control - Cum. STS Injected
TSTFCS                                                          Group Cycling Control - Cum. STF Injected
TUB L temp distrib - SAM                                        Tubing L temperature distribution - SAM
TUB temp distrib - SAM                                          Tubing temperature distribution - SAM
Tubing emissivity                                               Tubing emissivity
Tubing film conductivity - DW                                   Tubing film conductivity - DW
Tubing radius for hydraulic p-loss calcs                        Tubing radius for hydraulic p-loss calcs
tubing relative roughness -wellbore                             tubing relative roughness -wellbore
Tubing wall thermal conductivity                                Tubing wall thermal conductivity
Turb D fact. for each layer                                     Turb D fact. for each layer
TWATCP                                                          Group Cycling Control - Cum. Water Prod.
TWATCR                                                          Group Cycling Control - Cum. Res. Water Injected
TWATCS                                                          Group Cycling Control - Cum. STW Injected
TWKCGR                                                          Group Cycling Control - Cycle End Time
TWKCGS                                                          Group Cycling Control - Cycle Start Time
TWKSTR                                                          Cycle starting time for each CS group
TWKSTR1                                                         CS group cycle starting time
TWTGCP                                                          Group Cycling Control - Cum. Wet Gas Prod.
Type of model - STARS WB PDROP and HLOSS                        Type of model - STARS WB PDROP and HLOSS
Type of RATE in each FCDTABLE                                   Type of Rate in each FCDTABLE
UNWEIGHT well mobilities                                        UNWEIGHT well mobilities
Use MRC/BHP rate in priority calculation                        Use MRC/BHP rate in priority calculation
Values of each variable in each FCDTABLE                        Values of each variable in each FCDTABLE
Var type of special val                                         type of variable of special value
Void Volume Change SCTR                                         Void volume change per sector
Void Volume SCTR                                                Void volume per sector
Voidage Rate Ratio Inj/Prod RC                                  Total Voidage Rate Ratio Injection/Production, RC
Volume Fraction                                                 Volume Fraction
Volume/mole flag for multiphase co-injection                    Volume/mole flag for multiphase co-injection
VREPFR                                                          Group Cycling Control - Voidage Replacement Fraction
w1lyo                                                           STC Water Phase Component mole fraction
Water Ave Sat SCTR                                              Average water saturation per sector
Water comp (mass frac)                                          Water phase composition (mass frac)
Water comp (mass frac)$C                                        Water phase composition (mass frac)$C
Water comp (mole frac)                                          Water phase composition (mole frac)
Water comp (mole frac)$C                                        Water phase composition (mole frac)$C
Water comp (vol frac)                                           Water phase composition (vol frac)
Water comp (vol frac)$C                                         Water phase composition (vol frac)$C
Water Flow Cum RC LEASE                                         Water cumulative RC flow per leaseline
Water Flow Cum RC LEASE I-CON                                   Water cumulative RC flow per leaseline i-con
Water Flow Cum RC LEASE J-CON                                   Water cumulative RC flow per leaseline j-con
Water Flow Cum RC LEASE K-CON                                   Water cumulative RC flow per leaseline k-con
Water Flow Cum SC LEASE                                         Water cumulative flow per leaseline
Water Flow Cum SC LEASE I-CON                                   Water cumulative flow per leaseline i-con
Water Flow Cum SC LEASE J-CON                                   Water cumulative flow per leaseline j-con
Water Flow Cum SC LEASE K-CON                                   Water cumulative flow per leaseline k-con
Water Flow Rate RC LEASE                                        Water RC flow rate per leaseline
Water Flow Rate RC LEASE I-CON                                  Water RC flow rate per leaseline i-con
Water Flow Rate RC LEASE J-CON                                  Water RC flow rate per leaseline j-con
Water Flow Rate RC LEASE K-CON                                  Water RC flow rate per leaseline k-con
Water Flow Rate SC LEASE                                        Water flow rate per leaseline
Water Flow Rate SC LEASE I-CON                                  Water flow rate per leaseline i-con
Water Flow Rate SC LEASE J-CON                                  Water flow rate per leaseline j-con
Water Flow Rate SC LEASE K-CON                                  Water flow rate per leaseline k-con
Water fraction identifier for table                             Water fraction identifier for table
Water Inje Cum SCTR                                             Water injection cumulative per sector
Water Inje Mass Cum SCTR                                        Water injection mass cumulative per sector
Water Inje Mass Rate SCTR                                       Water injection mass rate per sector
Water Inje Rate SCTR                                            Water injection rate per sector
Water Inje SC Mol Cum SCTR                                      Water SC molar injection cumulative per sector
Water injection comp                                            Water phase injection composition
Water injection comp$C                                          Water phase injection composition$C
Water Injection Manifold Pressure                               Water Injection Manifold Pressure
Water Injection Rate SC                                         Water phase volume injection rate - surface conditions
Water Injection Surface Pressure                                Water Injection Surface Pressure
Water Mass Rate RC                                              Water phase mass rate - reservoir conditions
Water Mass Rate SC                                              Water phase mass rate - surface conditions
Water Mass Rate$C RC                                            Water phase mass rate$C - reservoir conditions
Water Mass Rate$C SC                                            Water phase mass rate$C - surface conditions
Water Molar Rate SC                                             Water phase molar rate - SC
Water Molar Rate$C SC                                           Water phase molar rate$C - SC
Water Mole Rate  SC                                             Water phase mole rate - surface conditions
Water Mole Rate RC                                              Water phase mole rate - reservoir conditions
Water Mole Rate SC                                              Water phase mole rate - surface conditions
Water Mole Rate$C RC                                            Water phase mole rate$C - reservoir conditions
Water Mole Rate$C SC                                            Water phase mole rate$C - surface conditions
Water parameter, aquifer model                                  Water parameter, aquifer model
Water phase component surface vol rate                          Water phase component surface vol rate
Water Phase Molar Rate SC                                       Water phase molar rate - SC
Water phase well index RC                                       Water phase well index - reservoir conditions
Water Prod Cum SCTR                                             Water production cumulative per sector
Water Prod Mass Cum SCTR                                        Water production mass cumulative per sector
Water Prod Mass Rate SCTR                                       Water production mass rate per sector
Water Prod Rate SCTR                                            Water production rate per sector
Water Prod SC Mol Cum SCTR                                      Water SC cumulative molar production per sector
Water Rate RC                                                   Water phase volume rate - reservoir conditions
Water Rate SC                                                   Water phase volume rate - surface conditions
Water Rate SC - Instantaneous On-time                           Water phase volume rate - surface conditions during well on-time
Water Rate$C RC                                                 Water phase component volume rate$C - reservoir conditions
Water Rate$C SC                                                 Water phase component volume rate$C - surface conditions
Water Rate[Sum] RC                                              Water phase component volume rate[Sum] - reservoir conditions
Water Rate[Sum] SC                                              Water phase component volume rate[Sum] - surface conditions
Water Recovery Factor old SCTR                                  Water recovery factor per sector old
Water Recovery Factor SCTR                                      Water recovery factor per sector
Water sat in well block                                         Water saturation in well block
Water Stream Well Mass Density SC                               Water stream well mass density - surface conditions
Water Stream Well Molar Density SC                              Water stream well molar density - surface conditions
Water time-span-cumulatiion SC per well array                   Well water accumulation within a network timestep - surface conditions 
Water Volume RC SCTR                                            Water volume reservoir conditions per sector
Water Volume SC SCTR                                            Water volume surface conditions per sector
Water-gas ratio                                                 Water-gas ratio
Water-oil ratio                                                 Water-oil ratio
wclyrc                                                          RC Water Phase Component mole fraction
WCUT(ng,nt) for entry ng, in table nt                           WCUT(ng,nt) for entry ng, in table nt
Well Aqueous Viscosity                                          Well Aqueous Phase Viscosity
Well backflow fraction - RC                                     Well backflow fraction
Well backflow fraction - SC                                     Well backflow fraction
Well BHP Head Initialization Method                             Well BHP Head Initialization Method
Well Block Pressure                                             Pressure in well block
Well Block Pressure - 5P                                        Well Block Pressure - 5P
Well Block Pressure - 9P                                        Well Block Pressure - 9P
Well bottom hole temperature                                    Well Bottom-hole Temperature
Well Bottom-hole Pressure                                       Well bottom-hole pressure
Well Bottom-hole Pressure Array                                 Well bottom-hole pressure
well causing repeat                                             flag for well causing t.s. repeat
well constraint value reset flag                                flag for well constraint value reset
Well Cumulative Open On-time                                    Cumulative Time that a well has been open
Well cumulatives per well and per phase                         well cumulatives per well and per phase
Well cumulatives per well and per phase array                   well cumulatives per well and per phase
well depth (wellbore option)                                    well depth (wellbore option)
well direction                                                  well direction
Well Drawdown Pressure - DWA                                    Well drawdown pressure - DWA
Well Drawdown Pressure - DWB                                    Well drawdown pressure - DWB
Well Drawdown Pressure - DWN                                    Well drawdown pressure - DWN
Well Eg/Vg for each well and layer                              Well Eg/Vg for each well and layer
Well Eg/Vg for each well and layer array                        Well Eg/Vg for each well and layer
Well Equivalent Wat. Visc.                                      Well Equivalent Water Viscosity
Well Flow Friction Model                                        Well Flow Friction Model 
well fraction for each well                                     well fraction for each well
Well Friction Iterative Method                                  Well Friction Iterative Method
Well gas transmiss                                              Well gas transmissibility
well guide rates                                                well guide rates
Well head for each well and layer                               Well head for each well and layer
Well Head Method                                                Well interlayer head calculation method
Well Head Pressure                                              Well head pressure
Well Index - heat conduction                                    Well Index - heat conduction
Well index multiplier for each layer                            Well index multiplier for each layer
Well index multiplier for each layer array                      Well index multiplier for each layer
well layer shut or tested for re-opening time                   well layer shut or tested for re-opening time
Well layer to extended ijk list                                 Well layer to extended ijk list
Well Length                                                     Well Completion Length
Well list for cyclic steam stimulation groups                   Well list for cyclic steam stimulation groups
Well Min Oil for Cycling Control                                Well Min Oil for Cycling Control
Well Min Wtr for Cycling Control                                Well Min Wtr for Cycling Control
Well Mobility-Weighted Block P                                  Well Mobility-Weighted Block Pressure
Well Mobility-Weighted Block P-from t=0                         Well Mobility-Weighted Block Pressure-from t=0
Well Mobility-Weighted Datum Pressure                           Well Mobility-Weighted Block Datum Pressure
Well Mobility-Weighted P-P(0)                                   Well Mobility-Weighted Block P-P(0)
well mrc-reset flag                                             flag for well m.r. constraint reset
well null perforation flag                                      well null perforation flag
Well oil transmiss                                              Well oil transmissibility
Well Operating Control Status                                   Well Operating Control Status
Well operating mode                                             Well Operating Mode (< 0 producer, > 0 injector)
well pool number for a node & a phase                           well pool number for a node & a phase
well pool rate for ip phase                                     well pool rate for ip phase
Well Pressure                                                   Pressure in wellbore
Well priority for ranking apportionment                         Well priority for ranking apportionment
well radius                                                     well radius
well recompletion potential                                     well recompletion potential
Well Ref Rad Viscosity                                          Well Reference Radius Viscosity
Well Shear Factor                                               Well Radius Shear Factor
well shut or tested for re-opening time                         well shut or tested for re-opening time
Well Shut-in Flag                                               STARS Well Shut-in Flag
Well Shut-in Status                                             Well Shut-in Status (true - shutin; false - open)
Well Shut-in Status Array                                       Well Shut-in Status (true - shutin; false - open)
Well Specification                                              Well Specification
Well state                                                      Well State
well status flag for guide rate option                          well status flag for guide rate option
well status in the drilling queue                               well status in the drilling queue
well to relative perm curve pointer                             well to relative perm curve pointer
Well type                                                       Well type indicator - producer or type of injector
Well type array                                                 Well type indicator - producer or type of injector
Well type for injectors                                         Well type for injectors
Well Velocity Factor                                            Well Velocity Factor
Well water transmiss                                            Well water transmissibility
Well Water Viscosity                                            Well Water Viscosity
Well Water Viscosity No Polymer                                 Well Base Water Viscosity
Well weights in reporting groups                                Well weights in reporting groups
Well Xflow Model                                                Well backflow/crossflow model type
Wellbore film conductivity - DW                                 Wellbore film conductivity - DW
Wellbore heatloss enth                                          Wellbore heatloss steam enthalpy
Wellbore heatloss flag                                          Wellbore heatloss flag
wellbore length                                                 wellbore length
wellbore option per well                                        wellbore option per well
Wellbore slip parameter - cn                                    Wellbore slip parameter - connection
Wellbore slip parameter for S/S end                             Wellbore slip parameter for S/S end
Well-head temperature                                           Well Head Temperature
WELLIST names                                                   WELLIST names
Wells being shut with fluid equilibration modelling             Wells being shut with fluid equilibration modelling
Wells can be shut with fluid equilibration modelling            Wells can be shut with fluid equilibration modelling
Well-to-C-Layer Pointer                                         Well-to-Contiguous-Layer Pointer
Well-to-contiguous-layer pointer - dw.                          Well-to-contiguous-layer pointer - dw.
Well-to-contiguous-layer pointer array.                         Well-to-contiguous-layer pointer.
Well-to-contiguous-layer pointer.                               Well-to-contiguous-layer pointer.
well-to-pressure-table pointer in wellbore option               well-to-pressure-table pointer in wellbore option
well-to-temperature-table pointer in wellbore option            well-to-temperature-table pointer in wellbore option
Wet Gas Cumulative Prod. Moles SC                               Wet Gas moles produced - surface conditions
Wet Gas Cumulative Prod. Moles$C SC                             Wet Gas moles produced$C - surface conditions
Wet Gas Prod Cum SCTR                                           Wet Gas production cumulative per sector
Wet Gas Prod Rate SCTR                                          Wet Gas production rate per sector
WGCGVR                                                          Reservoir Gas Phase Component-Group Volume
WGCGVS                                                          Surface Gas Phase Component-Group Volume
WGCOVR                                                          Reservoir Oil Phase Component-Group Volume
WGCOVS                                                          Surface Oil Phase Component-Group Volume
WGCWVR                                                          Reservoir Water Phase Component-Group Volume
WGCWVS                                                          Surface Water Phase Component-Group Volume
WGR calculation mode                                            WGR calculation mode
WHP(ng,nt)  for entry ng, in table nt                           WHP(ng,nt)  for entry ng, in table nt
WHPIW - STARS WB PDROP and HLOSS                                WHPIW - STARS WB PDROP and HLOSS
wi or ff or kh for each well                                    wi or ff or kh for each well
WI Range Max Value                                              WI range regulation max value
WI Range Min Value                                              WI range regulation min value
WI Range Type                                                   WI range regulation type
WLSTNAME elements                                               WLSTNAME char length
wmhyfs points flag                                              wmhyfs points flag
WOR calculation mode                                            WOR calculation mode
